_member_of_domain_usage	member of domain usage
_has_part	has part
_also_see	also see
_hypernym	hypernym
_synset_domain_topic_of	synset domain topic of
_derivationally_related_form	derivationally related form
_similar_to	similar to
_instance_hypernym	instance hypernym
_verb_group	verb group
_member_meronym	member meronym
_member_of_domain_region	member of domain region
SIM_member_of_domain_usage	# member of domain usage
SIM_has_part	# has part
SIM_also_see	# also see
SIM_hypernym	# hypernym
SIM_synset_domain_topic_of	# synset domain topic of
SIM_derivationally_related_form	# derivationally related form
SIM_similar_to	# similar to
SIM_instance_hypernym	# instance hypernym
SIM_verb_group	# verb group
SIM_member_meronym	# member meronym
SIM_member_of_domain_region	# member of domain region
